email,role_category,region,source,status,sample_subject
info@sipco.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Logistics/Operations Role at SIPCO (Saudi Ar
info@sirc.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
info@smsaexpress.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position at SMSA Ex
info@spimaco.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position at SPIMACO
info@ssc-hr.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Logistics & Supply Chain Manager (Jeddah) — Ha
info@sunbulah.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position at Sunbula
info@tabukpharmaceuticals.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hassan Adam
info@tascoutsourcing.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Supply Coordinator / Supply Chain (Riyadh) | H
info@thiqah.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Logistics Position at Thiqah Business Servic
info@trukker.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application - Logistics / Land Freight Operations (Jeddah) |
info@wadi-jeddah.com.sa,Recruiting/TA,Saudi/GCC,verified-Sent-delivered,DELIVERED,Recruitment automation for Wadi Jeddah portfolio companies
info@wood.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Industrial Engineering Graduate - Application (Graduate Indu
info@yasref.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Industrial Engineering Graduate - Application (Industrial / 
info@zahid.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
info@zajil.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Zajil Expres
infoksa@acts-int.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Procurement & Logistics Officer (Saudi Nationa
infos@sisco.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Logistics & Operations Engineer — Hassan Adam 
jasarapmc@jobs.workablemail.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Talent Pool - Logistics / Supply Chain (Riyadh & Jeddah) - H
job@almoosahospital.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain (Healthcare) — Hassan 
job@herfy.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Role at Herfy Food 
jobs@almajdouie.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Logistics / Operations (Almajdouie) — Hassan A
jobs@alyousufent.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply-Chain Position at Al Yousu
jobs@arvindglobal.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role
jobs@ayk.global,General/Other,Intl,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — AYK Global — Hassan Adam (Riyadh)
jobs@binajinah.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineering / Operations (Saudi Nat
jobs@emerald-isle.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — Emerald Isle Manpower — Hassan Ada
jobs@hirejubail.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Application: Shutdown/Turnaround — HireJubail (Jobs) — Hassa
jobs@jalint.com.sa,General/Other,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Transportation Coordinator (Dammam) — Hassan A
jobs@m2reducation.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply-Chain Position at M2R Educ
jobs@metco.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role at METCO
jobs@miskschools.edu.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Support for your Procurement Officer hire — AutoApply SA
jobs@nesma.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Industrial Engineer / Operations — Hassan Adam
jobs@ramzunited.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply-Chain Role at Ramz United
jobs@saco-ksa.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
jobs@saudigerman.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role at Saudi German
jobs@sghgroup.net,Healthcare,Intl,verified-Sent-delivered,DELIVERED,Automate Saudi German Health recruitment pipeline
juffali@eajb.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
jw@seekteachers.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role
kbr-amcdehr@kbr.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply-Chain Role at KBR
klc.hr@alkafaa.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineering / Operations (Saudi Nat
kuagh.hr@hyatt.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Application — Materials Clerk / Purchasing (Grand Hyatt KSA)
linajebril@alibaba-inc.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Re: Follow-up Regarding Alibaba Cloud Services
mail@alandalus.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Logistics and Operations Position at Alandal
malmanghy@panda.com.sa,General/Other,Saudi/GCC,verified-Sent-delivered,DELIVERED,"Automate Panda's active roles — one submission, 15 platforms"
marketing.np@nesma.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineering / Operations (Saudi Nat
middleeast@naukrigulf.com,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,"Partnership enquiry — AutoApply SA (recruitment automation, "
n.alsohaibani@salehiya.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Supply Chain / Operations (Healthcare) — Hassa
nationalizationteam@almarai.com,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,Supporting Saudization hiring targets — automated sourcing a
oalkhunaizi@darwaemaar.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Industrial Engineer / Operations Application — Hasan Adam
pomsm_hr@hilton.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Application — Purchasing Officer (Hilton KSA) — Hassan Adam
qcc@qcc.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
qiddiya-investment-company-1@jobs.workablemail.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Application — Manager Operational Readiness (Qiddiya) — Hass
ran.recruiter@alarabi92.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application: Industrial Engineer (Process Optimization) - Ha
rec@alojaimi.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations | Hassan Adam
recruit@farm.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,"Application - Supply Chain / Operations | Hassan Adam, Indus"
recruiting.ksa@mcdermott.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations / Supply Chain (McDermott KSA) — Ha
recruitment@abunayyanholding.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Procurement Coordinator (Abunayyan Holding) — 
recruitment@al-kabeer.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — Al Kabeer Company — Hassan Adam (R
recruitment@algihaz.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Application — Materials Coordinator (Algihaz Holding) — Hass
recruitment@alguthmi.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Shipping & Logistics Specialist (Jeddah) — Has
recruitment@almoosahospital.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role at Almoosa Hosp
recruitment@alrajhibank.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Operations / Supply Chain (Al Rajhi Bank) — Ha
recruitment@aytb.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineering / Operations (Saudi Nat
recruitment@batook.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role at Batook
recruitment@chalhoub.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Faster shortlists for your Jeddah supply chain roles — AutoA
recruitment@citycement.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at City Cement 
recruitment@epc-ksa.com,Oil&Gas,Intl,verified-Sent-delivered,DELIVERED,Application: Oil & Gas/Epc — Saudi EPC Contractor — Hassan A
recruitment@eramtalent.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application – Industrial Engineer (Eastern Province) – Hasan
recruitment@flowpl.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,"Replace your TA hire with automation — saves you SAR 8,000/m"
recruitment@flynas.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations / Supply Chain (Flynas) — Hassan Ad
recruitment@jesco.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
recruitment@luberef.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Job Application for Industrial Engineer Position at Luberef 
recruitment@marafiq.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations / Supply Chain (Marafiq) — Hassan A
recruitment@marafiq.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role at Marafiq
recruitment@mobily.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Operations / Supply Chain (Mobily) — Hassan Ad
recruitment@nadarestaurants.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — NADA Restaurants — Hassan Adam (Ri
recruitment@qasmiinternational.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — Qasmi International — Hassan Adam 
recruitment@rawabiholding.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Procurement / Supply Chain (Rawabi Holding) — 
recruitment@riyadhair.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Riyadh Air
recruitment@sabic.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Procurement / Supply Chain (SABIC) — Hassan Ad
recruitment@savola.com,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,"Recruitment automation for Savola Group — 15+ platforms, AI "
recruitment@seder.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application – Industrial / Mechanical Engineer (Riyadh) – Ha
recruitment@shadeco.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineering / Operations (Saudi Nat
recruitment@sraco.com.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application — Operations / Logistics (SRACO) — Hassan Adam
recruitment@tes.com,Education,Intl,verified-Sent-delivered,DELIVERED,Job Opportunity Inquiry — TES (Times Educational) — Hassan A
recruitment@wecareksa.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Healthcare Operations / Supply Chain Application — Hasan Ada
recruitment@yanbucement.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application for Industrial Engineer Position at Yanbu Cement
s.alwadi@nhc.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Industrial Engineer / Operations Application — Hasan Adam
sacjobs@chevron.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Procurement / Supply Chain (Saudi Chevron) — H
salma.moharam@andalusiagroup.net,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,Automate hiring across all 17 departments — Andalusia Group
saudi.jobs@naqel.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,"Logistics / Operations - Hasan Adam, Industrial Engineer (Je"
saudiarabia@naukrigulf.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Candidate registration — Logistics/Operations/Procurement (K
scw@saudconsult.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Engineering recruitment automation for SaudConsult
service@deepseek.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Billing activation issue - $2 payment received but credits n
shakawa@salla.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,"RE: Application for Logistics Position in Salla, Saudi Arabi"
shaker@andalusiagroup.net,Recruiting/TA,Intl,verified-Sent-delivered,DELIVERED,Automate hiring across all 17 departments — Andalusia Group
siec@siec.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
sourcing2@menalimited.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application for Operations/Supply Chain Role at MENA Limited
support@deepseek.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Billing / Top-up delay – account credit not added after 3 da
support@digitalocean.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Re: [DigitalOcean] Ticket #12617868: github student develope
support@nana.sa,Logistics/Supply-Chain,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application for Logistics Position in Saudi Arabia
support@saudiceramics.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Production / Industrial Engineer — Hassan Adam
support@zerobounce.net,General/Other,Intl,verified-Sent-delivered,DELIVERED,Re: [Request received] Action Required! Your ZeroBounce acco
talent.acquisition@drsulaimanalhabib.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Operations/Supply Chain (Healthcare) — Hassan 
talent@indpt.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Supply Chain Manager (Riyadh) — Hassan Adam
tcc@tcc.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Application - Industrial Engineer / Operations - Hasan Adam
test@x.com,General/Other,Intl,verified-Sent-delivered,DELIVERED,Application: HSE Officer — ACME Co — Hassan Adam
transport@aldrees.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application — Logistics & Fleet Operations Engineer — Hassan
valvolineglobalcareers@valvolineglobal.com,Logistics/Supply-Chain,Intl,verified-Sent-delivered,DELIVERED,Application — Product/Supply Chain (Valvoline KSA) — Hassan 
wadaef2019@abdulla-fouad.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Industrial Engineer / Operations Application — Hasan Adam
wadaef@gtecorp.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Industrial Engineering / Operations (Saudi Nat
wecare@othaimmarkets.com,Engineering/IE,Intl,verified-Sent-delivered,DELIVERED,Application - Supply Chain / Warehouse Operations Engineer -
ymohammed@innovest.com.sa,Engineering/IE,Saudi/GCC,verified-Sent-delivered,DELIVERED,Industrial Engineer / Operations Application — Hasan Adam
