recipient_email,company,role,city,client_id,evidence_type,public_job_url
hr@eng-arc.com,Eng Arc,Job Application – Industrial Engineer / Operations – Eng-Arc,,1,,
jobs.ksa@saint-gobain.com,Saint Gobain,Job Application – Industrial Engineer / Operations – Saint-Gobain,,1,,
hr@ahc-cpa.sa,Ahc Cpa,Job Application – Industrial Engineer / Operations – Ahc-Cpa,,1,,
careers@rayanadvanced.com.sa,Rayanadvanced,Job Application – Industrial Engineer / Operations – Rayanadvanced,,1,,
jobs@symphony.sa,Symphony,Job Application – Industrial Engineer / Operations – Symphony,,1,,
career@vision.edu.sa,Vision,Job Application – Industrial Engineer / Operations – Vision,,1,,
recruitment@adeco.com.sa,Adeco,Job Application – Industrial Engineer / Operations – Adeco,,1,,
careers@waseel.com,Waseel,Job Application – Industrial Engineer / Operations – Waseel,,1,,
hr.riyadh@hussainrental.com,Hussainrental,Job Application – Industrial Engineer / Operations – Hussainrental,,1,,
al-bustan.hr@al-bustan.net.sa,Al Bustan,Job Application – Industrial Engineer / Operations – Al-Bustan,,1,,
hr@purepolymers.net,Purepolymers,Job Application – Industrial Engineer / Operations – Purepolymers,,1,,
job@rfd.com.sa,Rfd,Job Application – Industrial Engineer / Operations – Rfd,,1,,
career@qbcsa.com,Qbcsa,Job Application – Industrial Engineer / Operations – Qbcsa,,1,,
careers.ruh@aljanoub.sa,Aljanoub,Job Application – Industrial Engineer / Operations – Aljanoub,,1,,
hr@kayanhorizon.com,Kayanhorizon,Job Application – Industrial Engineer / Operations – Kayanhorizon,,1,,
jobs@specialist.com.sa,Specialist,Job Application – Industrial Engineer / Operations – Specialist,,1,,
hr.hiring@aljazera.com,Aljazera,Job Application – Industrial Engineer / Operations – Aljazera,,1,,
careers@astraconst.com.sa,Astraconst,Job Application – Industrial Engineer / Operations – Astraconst,,1,,
hiring@majdgroup.sa,Majdgroup,Job Application – Industrial Engineer / Operations – Majdgroup,,1,,
jobs@tania.sa,Tania,Job Application – Industrial Engineer / Operations – Tania,,1,,
jobs@aessco.com.sa,Aessco,Job Application – Industrial Engineer / Operations – Aessco,,1,,
career@aaq.com.sa,Aaq,Job Application – Industrial Engineer / Operations – Aaq,,1,,
jobs@miniso.sa,Miniso,Job Application – Industrial Engineer / Operations – Miniso,,1,,
omniaelshamy@sis.net.sa,Sis,Job Application – Industrial Engineer / Operations – Sis,,1,,
apply@connectsaudi.com,Connectsaudi,Job Application – Industrial Engineer / Operations – Connectsaudi,,1,,
hr@hsksa.net,Hsksa,Job Application – Industrial Engineer / Operations – Hsksa,,1,,
nawaf.mohammed@innovahc.com,Innovahc,Job Application – Industrial Engineer / Operations – Innovahc,,1,,
smsajobs@smsaexpress.com,Smsaexpress,Job Application – Industrial Engineer / Operations – Smsaexpress,,1,,
job@foamco.com.sa,Foamco,Job Application – Industrial Engineer / Operations – Foamco,,1,,
recruitment@sulalat.com,Sulalat,Job Application – Industrial Engineer / Operations – Sulalat,,1,,
careers@natcom.com.sa,Natcom,Job Application – Industrial Engineer / Operations – Natcom,,1,,
almuflih@archer-investments.com,Archer Investments,Job Application – Industrial Engineer / Operations – Archer-Investments,,1,,
hr@mispay.co,Mispay,Job Application – Industrial Engineer / Operations – Mispay,,1,,
hr@rajhi.com.sa,Rajhi,Job Application – Industrial Engineer / Operations – Rajhi,,1,,
recruitment@tarfeehfakieh.com,Tarfeehfakieh,Job Application – Industrial Engineer / Operations – Tarfeehfakieh,,1,,
recruitment@saudibrothers.com,Saudibrothers,Job Application – Industrial Engineer / Operations – Saudibrothers,,1,,
ibrahim.alqahtani@apave.com,Apave,Job Application – Industrial Engineer / Operations – Apave,,1,,
careers@4horizons.com.sa,4Horizons,Job Application – Industrial Engineer / Operations – 4Horizons,,1,,
hr@hand.sa,Hand,Job Application – Industrial Engineer / Operations – Hand,,1,,
career@alramsat.com,Alramsat,Job Application – Industrial Engineer / Operations – Alramsat,,1,,
info@aafsaudi.com,Aafsaudi,Job Application – Industrial Engineer / Operations – Aafsaudi,,1,,
hr@rakaez.sa,Rakaez,Job Application – Industrial Engineer / Operations – Rakaez,,1,,
hr.info@madagypsum.com,Madagypsum,Job Application – Industrial Engineer / Operations – Madagypsum,,1,,
hr@saqifa-alrowad.com,Saqifa Alrowad,Job Application – Industrial Engineer / Operations – Saqifa-Alrowad,,1,,
hassani@rose-aljazera.com,Rose Aljazera,Job Application – Industrial Engineer / Operations – Rose-Aljazera,,1,,
hr@iota-sa.com,Iota Sa,Job Application – Industrial Engineer / Operations – Iota-Sa,,1,,
m.shaot@motoon.com.sa,Motoon,Job Application – Industrial Engineer / Operations – Motoon,,1,,
careers-ksa@savills.sa,Savills,Job Application – Industrial Engineer / Operations – Savills,,1,,
hr@whoatea.com,Whoatea,Job Application – Industrial Engineer / Operations – Whoatea,,1,,
jobs@silah.sa,Silah,Job Application – Industrial Engineer / Operations – Silah,,1,,
b.alrwishad@sidq.sa,Sidq,Job Application – Industrial Engineer / Operations – Sidq,,1,,
hissah@tobysestateme.com,Tobysestateme,Job Application – Industrial Engineer / Operations – Tobysestateme,,1,,
recruitment@etmam-sa.com,Etmam Sa,Job Application – Industrial Engineer / Operations – Etmam-Sa,,1,,
rawan@ancoonline.com,Ancoonline,Job Application – Industrial Engineer / Operations – Ancoonline,,1,,
hiring@bcc.com.sa,Bcc,Job Application – Industrial Engineer / Operations – Bcc,,1,,
hr@rta3mer.com,Rta3Mer,Job Application – Industrial Engineer / Operations – Rta3Mer,,1,,
bayan@flip.sa,Flip,Job Application – Industrial Engineer / Operations – Flip,,1,,
jobs@gobussma.com,Gobussma,Job Application – Industrial Engineer / Operations – Gobussma,,1,,
ksa.job@pvhardware.com,Pvhardware,Job Application – Industrial Engineer / Operations – Pvhardware,,1,,
hrd-ksa@danwayeme.com,Danwayeme,Job Application – Industrial Engineer / Operations – Danwayeme,,1,,
modhi@luxury-management.sa,Luxury Management,Job Application – Industrial Engineer / Operations – Luxury-Management,,1,,
hr@roya.com.sa,Roya,Job Application – Industrial Engineer / Operations – Roya,,1,,
hr@azharhco.com,Azharhco,Job Application – Industrial Engineer / Operations – Azharhco,,1,,
hr@amlaktaibah.sa,Amlaktaibah,Job Application – Industrial Engineer / Operations – Amlaktaibah,,1,,
jobs@sevens.sa,Sevens,Job Application – Industrial Engineer / Operations – Sevens,,1,,
wijdan.alghamdi@yanbusteel.sa,Yanbusteel,Job Application – Industrial Engineer / Operations – Yanbusteel,,1,,
career@sa.nestle.com,Sa,Job Application – Industrial Engineer / Operations – Sa,,1,,
auc.hr@protocol.sa,Protocol,Job Application – Industrial Engineer / Operations – Protocol,,1,,
hr@travelgate.com.sa,Travelgate,Job Application – Industrial Engineer / Operations – Travelgate,,1,,
hiring@merkai.sa,Merkai,Job Application – Industrial Engineer / Operations – Merkai,,1,,
hr01@liteway-lighting.com,Liteway Lighting,Job Application – Industrial Engineer / Operations – Liteway-Lighting,,1,,
hr@eu.com.sa,Eu,Job Application – Industrial Engineer / Operations – Eu,,1,,
hiring@c-bloc.co,C Bloc,Job Application – Industrial Engineer / Operations – C-Bloc,,1,,
hiring@rayafinancing.com,Rayafinancing,Job Application – Industrial Engineer / Operations – Rayafinancing,,1,,
hrd.ksa@target.ae,Target,Job Application – Industrial Engineer / Operations – Target,,1,,
hr@mohitalahram.com.sa,Mohitalahram,Job Application – Industrial Engineer / Operations – Mohitalahram,,1,,
jobs@iman-group.com,Iman Group,Job Application – Industrial Engineer / Operations – Iman-Group,,1,,
jobs@sabkaljusore.com,Sabkaljusore,Job Application – Industrial Engineer / Operations – Sabkaljusore,,1,,
hr@aman.sa,Aman,Job Application – Industrial Engineer / Operations – Aman,,1,,
meed-hr@mawarid-dt.com.sa,Mawarid Dt,Job Application – Industrial Engineer / Operations – Mawarid-Dt,,1,,
hr@theqa.sa,Theqa,Job Application – Industrial Engineer / Operations – Theqa,,1,,
hr_ksa@cscec.ae,Cscec,Job Application – Industrial Engineer / Operations – Cscec,,1,,
job@myanoosh.com,Myanoosh,Job Application – Industrial Engineer / Operations – Myanoosh,,1,,
info@blue-scope.co,Blue Scope,Job Application – Industrial Engineer / Operations – Blue-Scope,,1,,
jobs@zeyut.com,Zeyut,Job Application – Industrial Engineer / Operations – Zeyut,,1,,
jobs-ksa@dhbholding.com,Dhbholding,Job Application – Industrial Engineer / Operations – Dhbholding,,1,,
career@alkuhaimi.com,Alkuhaimi,Job Application – Industrial Engineer / Operations – Alkuhaimi,,1,,
s.arkula@paclindus.com,Paclindus,Job Application – Industrial Engineer / Operations – Paclindus,,1,,
hr.ksa@byrnerental.com,Byrnerental,Job Application – Industrial Engineer / Operations – Byrnerental,,1,,
cv@atlas-dis.com,Atlas Dis,Job Application – Industrial Engineer / Operations – Atlas-Dis,,1,,
recruitment@dopeamine.sa,Dopeamine,Job Application – Industrial Engineer / Operations – Dopeamine,,1,,
jobs@almajal.sa,Almajal,Job Application – Industrial Engineer / Operations – Almajal,,1,,
hrjob@nasmati.net,Nasmati,Job Application – Industrial Engineer / Operations – Nasmati,,1,,
recruitment@two.sa,Two,Job Application – Industrial Engineer / Operations – Two,,1,,
hrjob@farhaintl.com,Farhaintl,Job Application – Industrial Engineer / Operations – Farhaintl,,1,,
careers@riyadh-cables.com,Riyadh Cables,Job Application – Industrial Engineer / Operations – Riyadh-Cables,,1,,
saad.alotaibi@lxpantos.com,Lxpantos,Job Application – Industrial Engineer / Operations – Lxpantos,,1,,
career@texofib.com,Texofib,Job Application – Industrial Engineer / Operations – Texofib,,1,,
job@reval-sa.com,Reval Sa,Job Application – Industrial Engineer / Operations – Reval-Sa,,1,,
career@saudiradwa.com,Saudiradwa,Job Application – Industrial Engineer / Operations – Saudiradwa,,1,,
hanouf.abuali@hilton.com,Hilton,Job Application – Industrial Engineer / Operations – Hilton,,1,,
info@razeen-re.com,Razeen Re,Job Application – Industrial Engineer / Operations – Razeen-Re,,1,,
khalil.s@altoukhi.com,Altoukhi,Job Application – Industrial Engineer / Operations – Altoukhi,,1,,
muqqadas@prglobals.com,Prglobals,Job Application – Industrial Engineer / Operations – Prglobals,,1,,
careers@icad.com,Icad,Job Application – Industrial Engineer / Operations – Icad,,1,,
job@alwasail.com,Alwasail,Job Application – Industrial Engineer / Operations – Alwasail,,1,,
recruitment@taam.sa,Taam,Job Application – Industrial Engineer / Operations – Taam,,1,,
jobs@emaan.com.sa,Emaan,Job Application – Industrial Engineer / Operations – Emaan,,1,,
recruitment@lastmade.com,Lastmade,Job Application – Industrial Engineer / Operations – Lastmade,,1,,
jobs@lepremier.com.sa,Lepremier,Job Application – Industrial Engineer / Operations – Lepremier,,1,,
recruitment@gte.sa,Gte,Job Application – Industrial Engineer / Operations – Gte,,1,,
cv@getsmart.sa,Getsmart,Job Application – Industrial Engineer / Operations – Getsmart,,1,,
jobs@talatschool.edu.sa,Talatschool,Job Application – Industrial Engineer / Operations – Talatschool,,1,,
talent.acquisition@almadina.com.sa,Almadina,Job Application – Industrial Engineer / Operations – Almadina,,1,,
recruitment@darsonbol.com,Darsonbol,Job Application – Industrial Engineer / Operations – Darsonbol,,1,,
reception.jeddah@falconpack.ae,Falconpack,Job Application – Industrial Engineer / Operations – Falconpack,,1,,
gad-ah@nawaql.com.sa,Nawaql,Job Application – Industrial Engineer / Operations – Nawaql,,1,,
recruitment@energiaksa.com,Energiaksa,Job Application – Industrial Engineer / Operations – Energiaksa,,1,,
careers@saudipaper.com,Saudipaper,Job Application – Industrial Engineer / Operations – Saudipaper,,1,,
recruitment@mytable.sa,Mytable,Job Application – Industrial Engineer / Operations – Mytable,,1,,
career@mesmack.com,Mesmack,Job Application – Industrial Engineer / Operations – Mesmack,,1,,
alkhidhr1@alkhedrcars.com,Alkhedrcars,Job Application – Industrial Engineer / Operations – Alkhedrcars,,1,,
jobs@hululksa.com,Hululksa,Job Application – Industrial Engineer / Operations – Hululksa,,1,,
yazeed.nasser@redanational.com,Redanational,Job Application – Industrial Engineer / Operations – Redanational,,1,,
nadyah.alzuabi@exp.sa,Exp,Job Application – Industrial Engineer / Operations – Exp,,1,,
jaber.alnajei@dalba.com.sa,Dalba,Job Application – Industrial Engineer / Operations – Dalba,,1,,
jobs@starssmile.com.sa,Starssmile,Job Application – Industrial Engineer / Operations – Starssmile,,1,,
inad.almalki@alfanar.com,Alfanar,Job Application – Industrial Engineer / Operations – Alfanar,,1,,
forjobs@albenyah.com,Albenyah,Job Application – Industrial Engineer / Operations – Albenyah,,1,,
recruitment@idev.com.sa,Idev,Job Application – Industrial Engineer / Operations – Idev,,1,,
recruitment@advancedconstruction.com.sa,Advancedconstruction,Job Application – Industrial Engineer / Operations – Advancedconstruction,,1,,
careers@aldella.com.sa,Aldella,Job Application – Industrial Engineer / Operations – Aldella,,1,,
careers@leejam.com.sa,Leejam,Job Application – Industrial Engineer / Operations – Leejam,,1,,
jobs.aror@the-ascott.com,The Ascott,Job Application – Industrial Engineer / Operations – The-Ascott,,1,,
recruitment@asfourhotels.com,Asfourhotels,Job Application – Industrial Engineer / Operations – Asfourhotels,,1,,
a.marzouk@jisrhc.com,Jisrhc,Job Application – Industrial Engineer / Operations – Jisrhc,,1,,
talent@al-amthal.com.sa,Al Amthal,Job Application – Industrial Engineer / Operations – Al-Amthal,,1,,
jobs@sevencarlounge.com,Sevencarlounge,Job Application – Industrial Engineer / Operations – Sevencarlounge,,1,,
jobs@alhotystanger.com,Alhotystanger,Job Application – Industrial Engineer / Operations – Alhotystanger,,1,,
ksajobs@arabou.edu.sa,Arabou,Job Application – Industrial Engineer / Operations – Arabou,,1,,
careers@growthpartner.sa,Growthpartner,Job Application – Industrial Engineer / Operations – Growthpartner,,1,,
reception.hd@osaimiengineering.com,Osaimiengineering,Job Application – Industrial Engineer / Operations – Osaimiengineering,,1,,
hr1@zyind-sa.com,Zyind Sa,Job Application – Industrial Engineer / Operations – Zyind-Sa,,1,,
jobs@tgrmccksa.com,Tgrmccksa,Job Application – Industrial Engineer / Operations – Tgrmccksa,,1,,
fhs@f-horizon.com,F Horizon,Job Application – Industrial Engineer / Operations – F-Horizon,,1,,
job@dynexarabia.com,Dynexarabia,Job Application – Industrial Engineer / Operations – Dynexarabia,,1,,
careers@feedco.com.sa,Feedco,Job Application – Industrial Engineer / Operations – Feedco,,1,,
hr4@taxiat.com.sa,Taxiat,Job Application – Industrial Engineer / Operations – Taxiat,,1,,
hr@roxashop.com,Roxashop,Job Application – Industrial Engineer / Operations – Roxashop,,1,,
ibtsam@tpksa.com,Tpksa,Job Application – Industrial Engineer / Operations – Tpksa,,1,,
hr@eastgas.com.sa,Eastgas,Job Application – Industrial Engineer / Operations – Eastgas,,1,,
job@rosesweets.com.sa,Rosesweets,Job Application – Industrial Engineer / Operations – Rosesweets,,1,,
careers@sarj.ai,Sarj,Operations Specialist,,1,,
hiring@salla.sa,Salla,Business Analyst,,1,,
info@fipco.com.sa,Fipco,Industrial Engineer,,1,,
info@alargan.com.sa,Alargan,Industrial Engineer,,1,,
info@albawani.net,Albawani,Industrial Engineer,,1,,
info@aldanube.com,Aldanube,Industrial Engineer,,1,,
info@alesayi.com,Alesayi,Industrial Engineer,,1,,
info@alfozan.com,Alfozan,Industrial Engineer,,1,,
info@alhajry-overseas.com.sa,Alhajry Overseas,Industrial Engineer,,1,,
info@aljabr.com.sa,Aljabr,Industrial Engineer,,1,,
info@aljomaih.com,Aljomaih,Industrial Engineer,,1,,
info@aljouf.com.sa,Aljouf,Industrial Engineer,,1,,
info@alkifah.com,Alkifah,Industrial Engineer,,1,,
info@almoosahospital.com.sa,Almoosahospital,Industrial Engineer,,1,,
api-service@deepseek.com,Deepseek,Industrial Engineer,,1,,
info@almuhaidib.com,Almuhaidib,Industrial Engineer,,1,,
info@abunayyanholding.com,Abunayyanholding,Industrial Engineer,,1,,
info@alshalawi.com,Alshalawi,Industrial Engineer,,1,,
info@alsorayai.com,Alsorayai,Industrial Engineer,,1,,
info@altaaqa.com,Altaaqa,Industrial Engineer,,1,,
info@americanarestaurants.com,Americanarestaurants,Industrial Engineer,,1,,
info@amiantit.com,Amiantit,Industrial Engineer,,1,,
info@apc.com.sa,Apc,Industrial Engineer,,1,,
info@apparelgroup.com,Apparelgroup,Industrial Engineer,,1,,
info@arabianfal.com,Arabianfal,Industrial Engineer,,1,,
info@atco.com.sa,Atco,Industrial Engineer,,1,,
info@becarabia.com,Becarabia,Industrial Engineer,,1,,
info@becsaudi.com,Becsaudi,Industrial Engineer,,1,,
info@binharkil.com,Binharkil,Industrial Engineer,,1,,
info@care.med.sa,Care,Industrial Engineer,,1,,
info@catrion.com,Catrion,Industrial Engineer,,1,,
info@chalhoub.com,Chalhoub,Industrial Engineer,,1,,
info@dar.com,Dar,Industrial Engineer,,1,,
info@drakescull.com,Drakescull,Industrial Engineer,,1,,
info@dussur.com,Dussur,Industrial Engineer,,1,,
info@eic.com.sa,Eic,Industrial Engineer,,1,,
info@ejad.sa,Ejad,Industrial Engineer,,1,,
info@eramtalent.com,Eramtalent,Industrial Engineer,,1,,
info@familycare.com.sa,Familycare,Industrial Engineer,,1,,
info@gulftekarabia.com,Gulftekarabia,Industrial Engineer,,1,,
info@hadeed.com.sa,Hadeed,Industrial Engineer,,1,,
info@halwani.com.sa,Halwani,Industrial Engineer,,1,,
info@hassanallam.com,Hassanallam,Industrial Engineer,,1,,
info@hijazmalls.com,Hijazmalls,Industrial Engineer,,1,,
info@hillintl.com,Hillintl,Industrial Engineer,,1,,
hrexec@gulftekarabia.com,Gulftekarabia,Industrial Engineering / Operations Role,,1,,
info@ramclinics.com,Ramclinics,Industrial Engineering / Operations Role,,1,,
jb.industrial@abdal.sa,Abdal,Industrial Engineering / Operations Role,,1,,
salsalamah@americana-food.com,Americana Food,Industrial Engineering / Operations Role,,1,,
munif.alshammari@omorfiagroup.com,Omorfiagroup,Industrial Engineering / Operations Role,,1,,
baldeeb@nihr.sa,Nihr,Industrial Engineering / Operations Role,,1,,
re@delta-medlab.com,Delta Medlab,Industrial Engineering / Operations Role,,1,,
hr@metals-solutions.com.sa,Metals Solutions,Industrial Engineering / Operations Role,,1,,
najla.s@integrabuild.sa,Integrabuild,Industrial Engineering / Operations Role,,1,,
